id,like,reply,retweet,view,username,text,time,text_clean,text_preprocessed,polarity_score,polarity
11,0,0,0,229,@seyn1101,"Alhamdulillah PRJ 2023 sudah selesai , banyak kenangannya heheh capeknya semuanya ilang . Berkah selalu buat diri gue .  See you at PRJ 2024 ",2023-07-17 01:34:04,alhamdulillah prj sudah selesai banyak kenangannya hehe capainya semuanya hilang berkah selalu buat diri aku sih kamu at prj,"['alhamdulillah', 'prj', 'selesai', 'kenang', 'hehe', 'capai', 'hilang', 'berkah', 'sih', 'at', 'prj']",9,positive
12,1,0,0,60,@kobeynnn,raji absen jadi inget absen yang di prj HAHAHAH,2023-07-17 01:08:43,raji absen jadi ingat absen yang di prj haha,"['raji', 'absen', 'absen', 'prj', 'haha']",-8,negative
13,0,0,0,15,@matchychaa,Kalau boleh ke jakarta si ya aku pengen ke PRJ atau ya pasar raya dikota kota lainnya,2023-07-17 00:53:37,kalau boleh ke jakarta sih iya saya mau ke prj atau iya pasar raya dikota kota lainnya,"['jakarta', 'sih', 'iya', 'prj', 'iya', 'pasar', 'raya', 'kota', 'kota']",-2,negative
14,0,0,0,67,@pitypuffs,kok sedih ya prj kelar,2023-07-17 00:46:39,kok sedih iya prj selesai,"['sedih', 'iya', 'prj', 'selesai']",-6,negative
15,0,1,0,69,@AriefRPotter,Alhamdulillah kelar juga event prj,2023-07-17 00:33:30,alhamdulillah selesai juga event prj,"['alhamdulillah', 'selesai', 'event', 'prj']",7,positive
16,0,1,0,75,@hiitsmeehh,sampe prj udah tutup gue blm kesampean kesana wkwk,2023-07-17 00:26:37,sampai prj sudah tutup aku belum kesampaian kesana wkwk,"['prj', 'tutup', 'kesana', 'wkwk']",-2,negative
17,0,0,0,199,@profilneed,"baru sampai rumah, jastip prj batch 4 cukup menguras tenaga ya bun. keringet sampe ngucur, punggung sy jd sakit bgt   alhamdulillah pokoknya. makasih yg udah ikutan dan meramaikan jastip PRJ 2023, sampai jumpa di PRJ 2024 ",2023-07-17 00:20:39,baru sampai rumah jasa titip prj batch cukup menguras tenaga iya bun keringat sampai ngucur punggung saya jadi sakit banget alhamdulillah pokoknya terima kasih yang sudah ikutan dan meramaikan jasa titip prj sampai jumpa di prj,"['rumah', 'jasa', 'titip', 'prj', 'batch', 'uras', 'tenaga', 'iya', 'bun', 'keringat', 'ngucur', 'punggung', 'sakit', 'banget', 'alhamdulillah', 'pokok', 'terima', 'kasih', 'ikut', 'ramai', 'jasa', 'titip', 'prj', 'jumpa', 'prj']",6,positive
18,0,1,0,58,@Kyuti_pay,Td lwt tol liat kembang api bagus bgt kayanya di prj deh. Diliat dari jauh bagus bgttt tp gua ga bakal mau liat secata langsung sih soalnya takut kembang api,2023-07-17 00:09:43,tadi lewat tol lihat kembang api bagus banget kayaknya di prj deh dilihat dari jauh bagus banget tapi aku tidak bakal mau lihat secara langsung sih soalnya takut kembang api,"['tol', 'lihat', 'kembang', 'api', 'bagus', 'banget', 'kayak', 'prj', 'deh', 'bagus', 'banget', 'lihat', 'langsung', 'sih', 'takut', 'kembang', 'api']",6,positive
19,0,1,0,187,@aaawwwwiiii,Alhamdulillag kelar juga PRJ ,2023-07-17 00:00:55,alhamdulillah selesai juga prj,"['alhamdulillah', 'selesai', 'prj']",7,positive
20,1,0,0,48,@PengamatEmaKfia,"PRJ kelar, terimakasih 1bulan nya  @JakartaFairID  sangat memberi kehidupan orderan yang melimpah  @MaximBali",2023-07-16 23:40:01,prj selesai terima kasih bulan nya sangat memberi kehidupan orderan yang melimpah,"['prj', 'selesai', 'terima', 'kasih', 'nya', 'hidup', 'order', 'limpah']",6,positive
21,0,0,0,42,@Steppppsj,"Prj udh tutup ajh, pdahal seumur2 w blm prnh ke prj",2023-07-16 23:39:23,prj udah tutup saja padahal seumur aku belum pernah ke prj,"['prj', 'udah', 'tutup', 'umur', 'prj']",0,neutral
22,0,0,0,70,@bamhby,PRJ KELAR YEAAAAY ଘ(੭ˊᵕˋ)੭* ੈ✩‧˚,2023-07-16 23:39:15,prj selesai yeay,"['prj', 'selesai', 'yeay']",2,positive
23,0,0,0,101,@bloodyloomer,"hari ini seru bangeet, menghabiskan waktu di prj sama om tante sodara  kita nyobain semua wahana hantu di prj terus jajan muluu, main games, dan makan",2023-07-16 23:36:01,hari ini seru banget menghabiskan waktu di prj sama om tante saudara kita mencoba semua wahana hantu di prj terus jajan selalu main permainan dan makan,"['seru', 'banget', 'habis', 'prj', 'om', 'tante', 'saudara', 'coba', 'wahana', 'hantu', 'prj', 'jajan', 'main', 'main', 'makan']",3,positive
24,0,4,0,66,@auliaadyaksa,"Cukkk, parkir motor liar di prj nyampe 20rb. Bangsatt si.",2023-07-16 23:23:10,cuk parkir motor liar di prj sampai ribu bangsat sih,"['cuk', 'parkir', 'motor', 'liar', 'prj', 'ribu', 'bangsat', 'sih']",-6,negative
25,0,0,0,56,@mIqballux,Indomi terenak itu indomi di PRJ. soalnya ngantri dimasakinnya aja bisa setengah jam lebih,2023-07-16 23:19:09,indomi terenak itu indomi di prj soalnya mengantri dimasakinnya saja bisa setengah jam lebih,"['indomi', 'enak', 'indomi', 'prj', 'antri', 'dimasakinnya', 'jam']",3,positive
26,0,0,0,38,@fifinansiafahmi,Pengen ke PRJ banget tapi udah abis~,2023-07-16 23:17:04,mau ke prj banget tapi sudah habis,"['prj', 'banget', 'habis']",0,neutral
27,0,0,0,28,@yujinsekolah,mau muntah prj rame banget ,2023-07-16 23:16:45,mau muntah prj ramai banget,"['muntah', 'prj', 'ramai', 'banget']",-7,negative
28,0,0,0,18,@Kedelayhitam,Gokil PRJ,2023-07-16 23:15:23,gila prj,"['gila', 'prj']",-4,negative
29,0,0,0,65,@seunghanNCTU,Hri ini terakhir prj. Sedih btull T_T,2023-07-16 23:13:58,hari ini terakhir prj sedih betul t t,"['prj', 'sedih', 't', 't']",-8,negative
30,0,0,0,44,@segotiwulll,Nyesel beli ciki prj 2 doang,2023-07-16 23:12:13,menyesal beli ciki prj doang,"['sesal', 'beli', 'cik', 'prj', 'doang']",-4,negative
31,0,0,0,24,@icy_hoonie,Kemarin ke prj kenapa ga sekalian nyari eyeliner ya ,2023-07-16 23:11:09,kemarin ke prj kenapa tidak sekalian mencari eyeliner iya,"['kemarin', 'prj', 'cari', 'eyeliner', 'iya']",-3,negative
32,0,0,0,44,@onyourmarkblue,saran hotel deket prj yg murah dong ,2023-07-16 23:10:25,saran hotel dekat prj yang murah dong,"['saran', 'hotel', 'prj', 'murah']",-1,negative
33,0,1,0,1303,@BiLLYKHAERUDIN,Hari terakhir Jakarta Fair rame banget. Masyarakat yang datang pada belanja apa saja. Dari ciki-cikian sampai peralatan rumah tangga. Apa ini gambaran nyata ekonomi masyarakat kebanyakan saat ini?  Parkiran motor penuh banget. Motor ini ya,2023-07-16 23:09:58,hari terakhir jakarta fair ramai banget masyarakat yang datang pada belanja apa saja dari ciki cikian sampai peralatan rumah tangga apa ini gambaran nyata ekonomi masyarakat kebanyakan saat ini parkiran motor penuh banget motor ini iya,"['jakarta', 'fair', 'ramai', 'banget', 'masyarakat', 'belanja', 'cik', 'cikian', 'alat', 'rumah', 'tangga', 'gambar', 'nyata', 'ekonomi', 'masyarakat', 'banyak', 'parkir', 'motor', 'penuh', 'banget', 'motor', 'iya']",0,neutral
34,0,0,0,44,@wwdhndn,Salah bgt ke PRJ tanggal segini. Kalap hamba ,2023-07-16 23:09:50,salah banget ke prj tanggal segini kalap hamba,"['salah', 'banget', 'prj', 'tanggal', 'gin', 'kalap', 'hamba']",-12,negative
35,0,1,0,84,@pastelizziee,"Jakarta fair udh selesai,artinya udh gabisa pulang diatas jam 12 lagi WKWKKWKW",2023-07-16 23:08:14,jakarta fair udah selesai artinya udah tidak bisa pulang di atas jam lagi wkwk,"['jakarta', 'fair', 'udah', 'selesai', 'udah', 'pulang', 'jam', 'wkwk']",5,positive
36,1,1,0,60,@dengkulitem,"Niat ke prj dari sebelum buka, sampe skrng udh penutupan kaga jadi² ",2023-07-16 23:02:55,niat ke prj dari sebelum buka sampai sekarang udah penutupan tidak jadi,"['niat', 'prj', 'buka', 'udah', 'tutup']",-2,negative
37,0,0,0,33,@dinnypuspita,"Tahun ini ga ke prj, tahun ini tidak ke carnaval yg di sms, tidak pergi jg ke ichiran ramen booth di aeon",2023-07-16 22:57:55,tahun ini tidak ke prj tahun ini tidak ke karnaval yang di sms tidak pergi juga ke ichiran ramen booth di aeon,"['prj', 'karnaval', 'sms', 'pergi', 'ichiran', 'ramen', 'booth', 'aeon']",-2,negative
38,0,0,0,57,@Txxhu2,"Kesurupan setan PRJ kali nih, tbtb ngereog.",2023-07-16 22:50:04,kesurupan setan prj kali ini tiba-tiba ngereog,"['surup', 'setan', 'prj', 'kali', 'ngereog']",-13,negative
39,0,0,0,54,@ririsrm,Jajanan PRJ menyelamatkan gw dari pedesnya tteokbokki lawson ,2023-07-16 22:41:36,jajanan prj menyelamatkan aku dari pedesnya tteokbokki lawson,"['jajan', 'prj', 'selamat', 'pedesnya', 'tteokbokki', 'lawson']",8,positive
40,1,1,0,237,@afrvnlt,"di kantor di panggilnya oppa sama temen kantor meja sebelah, terus di prj tadi ada mba mba ngomong sambil nyamperin ngomong ""oppa jajan oppa"" ",2023-07-16 22:41:17,di kantor di panggilnya oppa sama teman kantor meja sebelah terus di prj tadi ada mbak mbak bicara sambil menyamper bicara oppa jajan oppa,"['kantor', 'panggil', 'oppa', 'teman', 'kantor', 'meja', 'belah', 'prj', 'mbak', 'mbak', 'bicara', 'samper', 'bicara', 'oppa', 'jajan', 'oppa']",-4,negative
41,0,1,0,52,@ydelfay,"Sampai jumpa tahun depan, PRJ!!!",2023-07-16 22:39:46,sampai jumpa tahun depan prj,"['jumpa', 'prj']",0,neutral
42,0,0,0,24,@whalienalienn,"Aaaaaaa yang perpisahan karyawan prj, tapi ikut galau",2023-07-16 22:35:41,kakak yang perpisahan karyawan prj tapi ikut galau,"['kakak', 'pisah', 'karyawan', 'prj', 'galau']",0,neutral
43,0,1,0,45,@capekmikiranjg,idih ke prj ga ngajak mak bapak w gaenak gbs minta beli bantal,2023-07-16 22:30:21,idih ke prj tidak mengajak ibu bapak aku tidak enak tidak bisa meminta beli bantal,"['idih', 'prj', 'ajak', 'enak', 'beli', 'bantal']",0,neutral
44,0,1,0,99,@cybilaina,"Why people love being panic buyer? Segala ciki di prj diborong sampe full satu kantong trashbag (bahkan lebih), alhasil gue ga kebagian tu ciki prj.   Kemana-mana selalu “habis”, eh pas papasan dijalan, banyak yg bawa gembolan ciki segede & sebanyak itu.",2023-07-16 22:22:01,kenapa people love being panic buyer segala ciki di prj diborong sampai full satu kantong trashbag bahkan lebih alhasil aku tidak kebagian itu ciki prj kemana mana selalu habis eh pas papasan di jalan banyak yang bawa gembolan ciki sebesar sebanyak itu,"['people', 'love', 'being', 'panic', 'buyer', 'cik', 'prj', 'borong', 'full', 'kantong', 'trashbag', 'alhasil', 'bagi', 'cik', 'prj', 'mana', 'habis', 'eh', 'pas', 'papas', 'jalan', 'bawa', 'gembol', 'cik']",-1,negative
45,0,0,0,52,@accreceivables,alhamdulillah event prj kelar Cus lnjut garap bikin artikel smoga lolos jurnal sintanya cepet,2023-07-16 22:16:29,alhamdulillah event prj selesai pergi lanjut garap buat artikel semoga lolos jurnal sintanya cepat,"['alhamdulillah', 'event', 'prj', 'selesai', 'pergi', 'garap', 'artikel', 'moga', 'lolos', 'jurnal', 'sintanya', 'cepat']",-2,negative
46,0,0,0,58,@astrownaut,"ihhh mau ke prj, apa gue geret si maru ya, blio dah setuju untuk jadi ojek pribadiku selama guwell di jeketi ",2023-07-16 22:07:41,ih mau ke prj apa aku geret sih maru iya blio sudah setuju untuk jadi ojek pribadiku selama guwell di jakarta,"['ih', 'prj', 'geret', 'sih', 'maru', 'iya', 'blio', 'tuju', 'ojek', 'pribadi', 'guwell', 'jakarta']",-4,negative
47,0,0,0,43,@seojola,Aku sepwertinya akan menjadi mode budak korporat sampai beberapa minggu kedepan alias closingan prj and welcome pameran pameran lainnya,2023-07-16 21:59:45,saya sepertinya akan menjadi mode budak korporat sampai beberapa minggu ke depan alias penutupan prj dan welcome pameran pameran lainnya,"['mode', 'budak', 'korporat', 'minggu', 'alias', 'tutup', 'prj', 'welcome', 'pamer', 'pamer']",0,neutral
48,0,0,0,52,@holicholicers,Berburu diskon yuk penutupan pekan raya jakarta (PRJ) kemayoran ,2023-07-16 21:46:27,berburu diskon yuk penutupan pekan raya jakarta prj kemayoran,"['buru', 'diskon', 'yuk', 'tutup', 'pekan', 'raya', 'jakarta', 'prj', 'mayor']",2,positive
49,0,0,0,40,@MbahMangunn,"Liyane ng PRJ do dolan kene kon bongkar"".",2023-07-16 21:45:06,yang lain ng prj di jalan sini kon bongkar,"['ng', 'prj', 'jalan', 'kon', 'bongkar']",-3,negative
50,0,1,0,67,@fatpig911,nalen gajadi2 bawa gue ke prj liat aja lu gue tagih di akhirat,2023-07-16 21:32:04,nalen tidak jadi bawa aku ke prj lihat saja kamu aku tagih di akhirat,"['nalen', 'bawa', 'prj', 'lihat', 'tagih', 'akhirat']",-2,negative
51,0,0,0,59,@laailyrhus,YaaAllah PRJ isinya manusia semua ituuu,2023-07-16 21:16:36,ya allah prj isinya manusia semua itu,"['ya', 'allah', 'prj', 'isi', 'manusia']",5,positive
52,0,0,0,50,@yoongisunter,Not gw lagi berak di temenin kembang api penutupan PRJ,2023-07-16 21:11:45,belum aku lagi berak di temani kembang api penutupan prj,"['berak', 'teman', 'kembang', 'api', 'tutup', 'prj']",-2,negative
53,0,0,1,73,@hehekyu,gila kembang api prj keren banget dah ,2023-07-16 21:10:28,gila kembang api prj keren banget sudah,"['gila', 'kembang', 'api', 'prj', 'keren', 'banget']",0,neutral
54,0,0,0,52,@ajualfian,"Petasan prj, kedengeran nya ampe rumah gokil. Gua kira gluduk",2023-07-16 21:10:21,petasan prj kedengaran nya sampai rumah gila aku kira gluduk,"['petas', 'prj', 'dengar', 'nya', 'rumah', 'gila', 'gluduk']",-2,negative
55,2,0,0,193,@bbyfa_,closingan prj brisik betul,2023-07-16 21:09:53,penutupan prj berisik betul,"['tutup', 'prj', 'berisik']",-2,negative
56,0,0,0,38,@chifuyusmnf,blm jg ksna uda penutupan aja prj,2023-07-16 21:08:41,belum juga kesana sudah penutupan saja prj,"['kesana', 'tutup', 'prj']",-2,negative
57,0,0,1,68,@karlielula,prj berisik bgt ,2023-07-16 21:07:30,prj berisik banget,"['prj', 'berisik', 'banget']",0,neutral
58,0,2,0,73,@chocozips,Anying kirain gluduk mau ujan taunya petasan closingan prj ,2023-07-16 21:07:22,anjing mengira gluduk mau hujan taunya petasan penutupan prj,"['anjing', 'gluduk', 'hujan', 'tau', 'petas', 'tutup', 'prj']",-7,negative
59,0,0,0,44,@menumpahkan,wah penutupan prj kedengeran fireworks nya,2023-07-16 21:04:09,wah penutupan prj kedengaran fireworks nya,"['tutup', 'prj', 'dengar', 'fireworks', 'nya']",0,neutral
60,0,0,0,40,@offhaoo,ku pikir gluduk kok gk berhenti'  ternyata petasan closing prj ,2023-07-16 21:03:42,ku pikir gluduk kok gak berhenti ternyata petasan closing prj,"['ku', 'pikir', 'gluduk', 'gak', 'henti', 'petas', 'closing', 'prj']",-5,negative
61,0,0,0,32,@nayeojnn,Rame banget prj petasannya,2023-07-16 21:03:25,ramai banget prj petasannya,"['ramai', 'banget', 'prj', 'petas']",-2,negative
62,0,0,0,256,@crunchyyummie,"gue kira gluduk mau ujan, gataunya petasan PRJ",2023-07-16 21:03:25,aku kira gluduk mau hujan enggak taunya petasan prj,"['gluduk', 'hujan', 'tau', 'petas', 'prj']",-1,negative
63,0,0,0,29,@pipipopay,Seru bgt chiki hunter di prj,2023-07-16 21:03:06,seru banget chiki hunter di prj,"['seru', 'banget', 'chiki', 'hunter', 'prj']",3,positive
64,0,0,0,66,@Rajaaaaw,PRJ klo dah closingan Petasan nye gak udeh udeh,2023-07-16 21:02:33,prj kalau sudah penutupan petasan nya enggak udah udah,"['prj', 'tutup', 'petas', 'nya', 'udah', 'udah']",-2,negative
65,1,0,0,75,@jjlinae1,gua tinggal di sebelah jiexpo selalu denger petasan apalagi SKRG INI PETASAN PRJ ANJIR KENCENG BGT,2023-07-16 21:01:33,aku tinggal di sebelah jakarta international expo selalu dengar petasan apalagi sekarang ini petasan prj   kencang banget,"['tinggal', 'belah', 'jakarta', 'international', 'expo', 'dengar', 'petas', 'petas', 'prj', 'kencang', 'banget']",-5,negative
66,0,0,0,30,@maknaeangle_,"penutupan prj bikin gw jantungan plss, dar der dor ",2023-07-16 21:01:30,penutupan prj buat aku jantungan pl dar der dor,"['tutup', 'prj', 'jantung', 'pl', 'dar', 'der', 'dor']",-2,negative
67,0,0,0,25,@3c_chaos,Eh prj tutup hr ini??? Cepet jg ITU KEMBANG APINYA KENCENG BGT BUSET,2023-07-16 21:01:01,eh prj tutup hari ini cepat juga itu kembang apinya kencang banget buset,"['eh', 'prj', 'tutup', 'cepat', 'kembang', 'api', 'kencang', 'banget', 'buset']",0,neutral
68,0,0,0,40,@yaelahhyoo,penutupan prj rane bgt,2023-07-16 21:00:49,penutupan prj ramai banget,"['tutup', 'prj', 'ramai', 'banget']",-4,negative
69,0,0,0,35,@3c_chaos,Wih kembang api prj coi,2023-07-16 21:00:33,wih kembang api prj coi,"['wih', 'kembang', 'api', 'prj', 'coi']",2,positive
70,0,0,0,65,@masharena_,"Udah ya, banyak banget malam ini penutupan jastip buat PRJ 2023 ini   Sampai lah kita ketemu di PRJ 2024 soon dan Big Bang Festival 2022 yaaa",2023-07-16 20:55:24,sudah iya banyak banget malam ini penutupan jasa titip buat prj ini sampai lah kita ketemu di prj soon dan besar mas festival iya,"['iya', 'banget', 'malam', 'tutup', 'jasa', 'titip', 'prj', 'ketemu', 'prj', 'soon', 'mas', 'festival', 'iya']",2,positive
71,0,0,0,36,@tiyaparyati,"Ngga terasa yaa PRJ udah lastday aja hari ini, 16 Juli 2023 ",2023-07-16 20:38:29,tidak terasa ya prj sudah lastday saja hari ini juli,"['ya', 'prj', 'lastday', 'juli']",0,neutral
72,0,0,0,29,@thejailqueen,"nge stuck gabisa keluar mobil gue di PRJ 2 jam gila! mobil pada di rem tangan semuaaa, tukang parkirnya pada kumaha sihh ampe sakit perut gue nahan pipiss  mana di jalan juga macet arrghhh mau marahh bangetttt ",2023-07-16 20:31:16,nge stuck tidak bisa keluar mobil aku di prj jam gila mobil pada di rem tangan semua tukang parkirnya pada bagaimana sih sampai sakit perut aku menahan pipi mana di jalan juga macet arrgh mau marah banget,"['nge', 'stuck', 'mobil', 'prj', 'jam', 'gila', 'mobil', 'rem', 'tangan', 'tukang', 'parkir', 'sih', 'sakit', 'perut', 'tahan', 'pipi', 'jalan', 'macet', 'arrgh', 'marah', 'banget']",-13,negative
73,0,1,0,51,@hobbytidur,perkara gue upload naik banteng bantengan di prj terus kancut gue keliatan dikit langsung direply aneh aneh,2023-07-16 20:24:18,perkara aku unggah naik banteng bantengan di prj terus kancut aku kelihatan sedikit langsung direply aneh aneh,"['perkara', 'unggah', 'banteng', 'banteng', 'prj', 'kancut', 'langsung', 'direply', 'aneh', 'aneh']",-13,negative
74,0,1,0,180,@dndelionss,pengen ke prj  penasaran ,2023-07-16 20:23:23,mau ke prj penasaran,"['prj', 'penasaran']",-3,negative
75,0,1,0,58,@wayuluh,"tapi ada 1 petugas jakarta fair yg ngehe sih, muka gua lagi berdarah-darah malah dikasih ciu",2023-07-16 20:21:04,tapi ada petugas jakarta fair yang kesal sih muka aku lagi berdarah darah bahkan dikasih ciu,"['tugas', 'jakarta', 'fair', 'kesal', 'sih', 'muka', 'darah', 'darah', 'kasih', 'ciu']",8,positive
76,0,1,0,74,@inibukandea,Nagih deh ke prj.. fix taun depan laaagiiii ,2023-07-16 20:15:32,menagih deh ke prj fix tahun depan lagi,"['tagih', 'deh', 'prj', 'fix']",-3,negative
77,0,0,0,75,@ditanapitupulu,Sampe prj tutup gajadi jadi kesananya..,2023-07-16 20:09:47,sampai prj tutup tidak jadi jadi kesananya,"['prj', 'tutup', 'kesana']",-2,negative
78,0,1,0,88,@masterando,Closing PRJ padat sekali ini ,2023-07-16 20:02:01,closing prj padat sekali ini,"['closing', 'prj', 'padat']",-2,negative
79,0,1,0,68,@megafwindra,eyangnya tara abis dr prj borong sosis siap makan  “ini eyang beli buat taraaa” ”no eyang tara gaboleh makan itu” ”loh kenapa inikan sosis daging”  *nyodorin komposisinya ke eyang”,2023-07-16 19:54:52,eyangnya tara habis dari prj borong sosis siap makan ini eyang beli buat tara no eyang tara tidak boleh makan itu lah kenapa inikan sosis daging menyodorkan komposisinya ke eyang,"['eyang', 'tara', 'habis', 'prj', 'borong', 'sosis', 'makan', 'eyang', 'beli', 'tara', 'no', 'eyang', 'tara', 'makan', 'ini', 'sosis', 'daging', 'sodor', 'komposisi', 'eyang']",4,positive
80,0,0,0,51,@noturrty,jir sedih tahun ini gak ke prj,2023-07-16 19:42:11,anjing sedih tahun ini enggak ke prj,"['anjing', 'sedih', 'prj']",-12,negative
81,0,0,0,196,@ramajeno,Tahun ini ga ke prj hehe,2023-07-16 19:40:16,tahun ini tidak ke prj he,"['prj', 'he']",0,neutral
82,0,1,0,111,@hmmmariaak,eh prj sorry absen dl gada waktu,2023-07-16 19:37:57,eh prj maaf absen dulu tidak ada waktu,"['eh', 'prj', 'maaf', 'absen']",-8,negative
83,0,1,0,79,@woongphd,prj panas bgt lol,2023-07-16 19:26:02,prj panas banget tertawa,"['prj', 'panas', 'banget', 'tertawa']",8,positive
84,0,0,0,22,@ypsgpi,pengen momogi yg di prj lagi (⁠+⁠_⁠+⁠),2023-07-16 19:25:32,mau momogi yang di prj lagi,"['momogi', 'prj']",0,neutral
85,0,0,0,81,@hsooyves,di prj mahal amat kntol parkir doang 50rb,2023-07-16 19:25:20,di prj mahal amat kontol parkir doang ribu,"['prj', 'mahal', 'kontol', 'parkir', 'doang', 'ribu']",-5,negative
86,0,0,0,23,@skylalakala,"Mwu pulaaaang hiksss,,, knp pRJ tuch rme bgt anjenk,,,,",2023-07-16 19:22:57,mau pulang hiks kenapa prj tuh ramai banget anjing,"['pulang', 'hiks', 'prj', 'tuh', 'ramai', 'banget', 'anjing']",-6,negative
87,0,0,0,948,@PegasusBoy94,"Sudah last day aja jakarta fair ya?   Saya yang seumur hidup blom ke sana, kayanya harus nunggu tahun depan lagi buat kesana ",2023-07-16 19:09:17,sudah last hari saja jakarta fair iya saya yang seumur hidup belum ke sana kayaknya harus menunggu tahun depan lagi buat kesana,"['last', 'jakarta', 'fair', 'iya', 'umur', 'hidup', 'kayak', 'tunggu', 'kesana']",-1,negative
88,0,0,0,38,@sunflowersi4,"Abis liat orang pulang dari prj, trs jadi pengen ke prj besok abis lepas jaga karna selasanya libur Pas googling ternyata prj nya smpe hari ini doang..... life is unfair ",2023-07-16 19:07:24,habis lihat orang pulang dari prj terus jadi mau ke prj besok habis lepas jaga karena selasanya libur pas googling ternyata prj nya sampai hari ini doang life is unfair,"['habis', 'lihat', 'orang', 'pulang', 'prj', 'prj', 'besok', 'habis', 'lepas', 'jaga', 'selasa', 'libur', 'pas', 'googling', 'prj', 'nya', 'doang', 'life', 'is', 'unfair']",4,positive
89,0,3,0,316,@seanskylars,ya allah mau muntah masuk prj,2023-07-16 18:55:59,iya allah mau muntah masuk prj,"['iya', 'allah', 'muntah', 'masuk', 'prj']",0,neutral
90,0,0,0,101,@Akinoramble,OMH BALIK LAGI MENJELAJAH PRJ BYEEEEE,2023-07-16 18:49:25,omh balik lagi menjelajah prj sampai jumpa,"['omh', 'jelajah', 'prj', 'jumpa']",0,neutral
